,train_ACC,train_F1,train_Recall,train_Pre,train_MCC,val_ACC,val_F1,val_Recall,val_Pre,val_MCC,test_ACC,test_F1,test_Recall,test_Pre,test_MCC
penaltyl2 C0.01 solversaga,0.9262 (0.00204),0.9249 (0.00215),0.9094 (0.00296),0.9410 (0.00128),0.8529 (0.00403),0.9283 (0.00072),0.9274 (0.00091),0.9160 (0.00328),0.9391 (0.00162),0.8569 (0.00134),0.9249 (0.00155),0.9237 (0.00168),0.9093 (0.00289),0.9386 (0.00038),0.8503 (0.00302)
penaltyl2 C0.1 solverlbfgs,0.9345 (0.00031),0.9338 (0.00036),0.9244 (0.00101),0.9434 (0.00033),0.8691 (0.00060),0.9355 (0.00045),0.9351 (0.00034),0.9289 (0.00126),0.9414 (0.00199),0.8711 (0.00095),0.9317 (0.00043),0.9309 (0.00047),0.9202 (0.00097),0.9419 (0.00007),0.8637 (0.00083)
penaltyl2 C0.1 solverliblinear,0.9343 (0.00033),0.9336 (0.00038),0.9237 (0.00107),0.9437 (0.00048),0.8688 (0.00064),0.9350 (0.00058),0.9345 (0.00048),0.9275 (0.00125),0.9416 (0.00216),0.8701 (0.00120),0.9313 (0.00064),0.9305 (0.00069),0.9191 (0.00131),0.9421 (0.00031),0.8629 (0.00125)
penaltyl2 C0.1 solvernewton- Cg,0.9345 (0.00031),0.9338 (0.00036),0.9244 (0.00101),0.9434 (0.00033),0.8691 (0.00060),0.9355 (0.00045),0.9351 (0.00034),0.9289 (0.00126),0.9414 (0.00199),0.8711 (0.00095),0.9317 (0.00046),0.9309 (0.00051),0.9203 (0.00104),0.9419 (0.00006),0.8637 (0.00090)
penaltyl2 C0.1 solversaga,0.9303 (0.00374),0.9293 (0.00399),0.9171 (0.00645),0.9420 (0.00143),0.8609 (0.00736),0.9320 (0.00253),0.9314 (0.00280),0.9228 (0.00601),0.9401 (0.00112),0.8642 (0.00495),0.9282 (0.00244),0.9271 (0.00262),0.9143 (0.00444),0.9404 (0.00074),0.8567 (0.00478)
penaltyl2 C100 solverlbfgs,0.9355 (0.00028),0.9349 (0.00031),0.9259 (0.00097),0.9440 (0.00066),0.8712 (0.00055),0.9370 (0.00104),0.9365 (0.00099),0.9304 (0.00129),0.9428 (0.00232),0.8740 (0.00211),0.9332 (0.00013),0.9325 (0.00009),0.9225 (0.00066),0.9427 (0.00080),0.8666 (0.00028)
penaltyl2 C100 solverliblinear,0.9357 (0.00041),0.9350 (0.00043),0.9260 (0.00111),0.9443 (0.00085),0.8715 (0.00080),0.9371 (0.00132),0.9366 (0.00129),0.9300 (0.00174),0.9433 (0.00251),0.8742 (0.00267),0.9333 (0.00022),0.9326 (0.00023),0.9228 (0.00066),0.9427 (0.00057),0.8669 (0.00044)
penaltyl2 C100 solvernewton- Cg,0.9357 (0.00037),0.9351 (0.00039),0.9260 (0.00112),0.9444 (0.00082),0.8717 (0.00073),0.9371 (0.00137),0.9367 (0.00133),0.9300 (0.00174),0.9434 (0.00265),0.8743 (0.00278),0.9334 (0.00023),0.9327 (0.00023),0.9229 (0.00063),0.9427 (0.00057),0.8669 (0.00045)
penaltyl2 C100 solversaga,0.9305 (0.00384),0.9296 (0.00411),0.9176 (0.00681),0.9420 (0.00131),0.8614 (0.00755),0.9327 (0.00290),0.9321 (0.00318),0.9239 (0.00659),0.9404 (0.00089),0.8655 (0.00567),0.9286 (0.00272),0.9276 (0.00294),0.9150 (0.00509),0.9405 (0.00070),0.8575 (0.00533)
penaltyl2 C10 solverlbfgs,0.9354 (0.00020),0.9348 (0.00021),0.9256 (0.00094),0.9442 (0.00087),0.8711 (0.00041),0.9374 (0.00099),0.9370 (0.00094),0.9310 (0.00153),0.9430 (0.00235),0.8748 (0.00202),0.9331 (0.00017),0.9324 (0.00020),0.9225 (0.00091),0.9424 (0.00068),0.8663 (0.00032)
penaltyl2 C10 solverliblinear,0.9358 (0.00039),0.9352 (0.00039),0.9261 (0.00107),0.9445 (0.00106),0.8719 (0.00078),0.9373 (0.00093),0.9369 (0.00087),0.9308 (0.00151),0.9430 (0.00235),0.8746 (0.00189),0.9333 (0.00021),0.9326 (0.00024),0.9228 (0.00088),0.9427 (0.00062),0.8669 (0.00041)
penaltyl2 C10 solvernewton- Cg,0.9359 (0.00042),0.9352 (0.00043),0.9261 (0.00113),0.9445 (0.00105),0.8719 (0.00084),0.9373 (0.00092),0.9369 (0.00087),0.9308 (0.00151),0.9430 (0.00235),0.8746 (0.00188),0.9333 (0.00026),0.9326 (0.00029),0.9228 (0.00091),0.9426 (0.00056),0.8668 (0.00051)
penaltyl2 C10 solversaga,0.9305 (0.00384),0.9296 (0.00411),0.9176 (0.00679),0.9420 (0.00133),0.8614 (0.00755),0.9326 (0.00290),0.9320 (0.00319),0.9238 (0.00661),0.9404 (0.00088),0.8654 (0.00568),0.9286 (0.00270),0.9276 (0.00291),0.9151 (0.00505),0.9405 (0.00070),0.8575 (0.00529)
penaltyl2 C1 solverlbfgs,0.9356 (0.00057),0.9351 (0.00062),0.9265 (0.00135),0.9437 (0.00060),0.8714 (0.00112),0.9369 (0.00057),0.9365 (0.00059),0.9307 (0.00201),0.9424 (0.00186),0.8739 (0.00115),0.9334 (0.00031),0.9327 (0.00034),0.9226 (0.00088),0.9429 (0.00049),0.8669 (0.00061)
penaltyl2 C1 solverliblinear,0.9356 (0.00051),0.9350 (0.00055),0.9264 (0.00134),0.9438 (0.00063),0.8713 (0.00099),0.9368 (0.00058),0.9364 (0.00054),0.9306 (0.00164),0.9423 (0.00196),0.8737 (0.00118),0.9333 (0.00031),0.9326 (0.00034),0.9225 (0.00088),0.9429 (0.00049),0.8668 (0.00061)
penaltyl2 C1 solvernewton- Cg,0.9356 (0.00060),0.9350 (0.00064),0.9265 (0.00135),0.9437 (0.00056),0.8714 (0.00118),0.9369 (0.00057),0.9365 (0.00059),0.9307 (0.00201),0.9424 (0.00186),0.8739 (0.00115),0.9333 (0.00035),0.9326 (0.00038),0.9226 (0.00091),0.9429 (0.00049),0.8669 (0.00068)
penaltyl2 C1 solversaga,0.9305 (0.00377),0.9296 (0.00404),0.9176 (0.00673),0.9419 (0.00126),0.8613 (0.00741),0.9325 (0.00282),0.9319 (0.00310),0.9235 (0.00647),0.9404 (0.00088),0.8651 (0.00552),0.9285 (0.00263),0.9275 (0.00283),0.9149 (0.00489),0.9405 (0.00068),0.8573 (0.00515)
